company,website,description,size,arrengement,average_compensation,count
Cisco,cisco.com/careers,Networking hardware cybersecurity and collaboration tools,300+ employees,Hybrid,177500,1
D-Wave,https://www.dwavequantum.com/company/careers/,Quantum computing hardware & software company headquartered in Burnaby.,Mid,Hybrid / on-site (lab & R&D roles often require presence).,133500,1
Diligent,diligent.com/careers,A SaaS company for governance risk and compliance (GRC). Acquired Vancouver-based Galvanize.,2500+,Hybrid,132500,1
Dropbox,https://jobs.dropbox.com,File hosting and collaboration,27,Hybrid,180000,1
Fujitsu,https://www.fujitsu.com/global/about/careers,IT services and consulting,124,Hybrid,155000,1
Gameloft,gameloft.com/careers,Mobile game development,4600+,Hybrid,90000,1
Grammarly,grammarly.com/jobs,AI-powered writing assistance software,200-400 employees,Remote,170000,1
IBM,ibm.com/careers,Technology consulting cloud AI,280000+,Hybrid/Remote,120000,1
Klue,https://klue.com/company/careers,Competitive intelligence platform,100,Hybrid,135000,1
Lumen5,https://lumen5.com/careers,AI video creation tool,100,Hybrid,130000,1
Mastercard,mastercard.us/careers,A global technology company in the payments industry with a major global technology hub in Vancouver.,33000+,Hybrid,147500,1
Motorola Solutions,https://www.motorolasolutions.com/en_us/about/careers.html,Communications and safety tech,20,Hybrid,155000,1
Oracle,oracle.com/careers,Database software cloud solutions and enterprise systems,500+ employees,Hybrid,190000,1
RBC,https://jobs.rbc.com/,Major Canadian bank with technology hubs (RBC Borealis/R&D) and Vancouver engineering roles.,Large,Hybrid / Vancouver tech hub (many hybrid roles).,155000,1
Remitly,https://www.remitly.com/us/en/careers,Digital remittance service,27,Hybrid,170000,1
Riot Games,riotgames.com/en/work-with-us,Video game developer and publisher best known for League of Legends with a growing Vancouver studio.,4500+,Hybrid,150000,1
Samsung Research,samsung.com/ca/careers,Consumer electronics R&D,267000+,Hybrid,120000,1
SAP Concur,concur.com/careers,Travel and expense management software,300+ employees,Hybrid,170000,1
SAP Labs,sap.com/careers,Enterprise application software (CRM ERP),1000+ employees,Hybrid,172500,1
Scotiabank,https://www.scotiabank.com/careers/en/careers/technology.html,Major Canadian bank with technology & engineering roles across Canada including Vancouver.,Large,Hybrid / role dependent.,145000,1
Sierra Systems,nttdata.com/careers,IT consulting and solutions,1500+,Hybrid,105000,1
Sierra Wireless,https://www.sierrawireless.com/careers/,IoT hardware & connectivity company with offices in the Vancouver region.,Mid,Hybrid / role dependent.,120000,1
Slack,slack.com/careers,Business communication platform,2500+,Remote/Hybrid,135000,1
Take-Two Interactive,https://www.take2games.com/careers,Video game holding company,65,Hybrid,165000,1
TELUS,https://careers.telus.com/,Large Canadian telco with a big TELUS Digital engineering organisation in Vancouver.,Large,Hybrid / remote options vary by role.,145000,1
TikTok,careers.tiktok.com,Social media/video platform and e-commerce solutions,500+ employees,On-site,180000,1
Toast,https://pos.toasttab.com/careers,Restaurant management software,45,Hybrid,155000,1
Visier,visier.com/careers,A Vancouver-founded company specializing in people analytics and workforce planning software.,500+,Hybrid,132500,1
